17/8/2013
3/12/2013,Sunderland,Chelsea
3/12/2013,Swansea City,Newcastle United
3/12/2013,West Bromwich Albion,Manchester City
4/12/2013
4/12/2013,Fulham,Tottenham Hotspur
7/12/2013
7/12/2013,Arsenal,Everton
7/12/2013,Crystal Palace,Cardiff City
7/12/2013,Fulham,Aston Villa
7/12/2013,Liverpool,West Ham United
7/12/2013,Manchester United,Newcastle United
7/12/2013,Southampton,Manchester City
7/12/2013,Stoke City,Chelsea
7/12/2013,Sunderland,Tottenham Hotspur
7/12/2013,Swansea City,Hull City
7/12/2013,West Bromwich Albion,Norwich City
14/12/2013
14/12/2013,Aston Villa,Manchester United
14/12/2013,Cardiff City,West Bromwich Albion
14/12/2013,Chelsea,Crystal Palace
14/12/2013,Everton,Fulham
14/12/2013,Hull City,Stoke City
14/12/2013,Manchester City,Arsenal
14/12/2013,Newcastle United,Southampton
14/12/2013,Norwich City,Swansea City
14/12/2013,Tottenham Hotspur,Liverpool
14/12/2013,West Ham United,Sunderland
21/12/2013
21/12/2013,Arsenal,Chelsea
21/12/2013,Crystal Palace,Newcastle United
21/12/2013,Fulham,Manchester City
21/12/2013,Liverpool,Cardiff City
21/12/2013,Manchester United,West Ham United
21/12/2013,Southampton,Tottenham Hotspur
21/12/2013,Stoke City,Aston Villa
21/12/2013,Sunderland,Norwich City
21/12/2013,Swansea City,Everton
21/12/2013,West Bromwich Albion,Hull City
26/12/2013
26/12/2013,Aston Villa,Crystal Palace
26/12/2013,Cardiff City,Southampton
26/12/2013,Chelsea,Swansea City
26/12/2013,Everton,Sunderland
26/12/2013,Hull City,Manchester United
26/12/2013,Manchester City,Liverpool
26/12/2013,Newcastle United,Stoke City
26/12/2013,Norwich City,Fulham
26/12/2013,Tottenham Hotspur,West Bromwich Albion
26/12/2013,West Ham United,Arsenal
28/12/2013
28/12/2013,Aston Villa,Swansea City
28/12/2013,Cardiff City,Sunderland
28/12/2013,Chelsea,Liverpool
28/12/2013,Everton,Southampton
28/12/2013,Hull City,Fulham
28/12/2013,Manchester City,Crystal Palace
28/12/2013,Newcastle United,Arsenal
28/12/2013,Norwich City,Manchester United
28/12/2013,Tottenham Hotspur,Stoke City
28/12/2013,West Ham United,West Bromwich Albion
1/1/2014
1/1/2014,Arsenal,Cardiff City
1/1/2014,Crystal Palace,Norwich City
1/1/2014,Fulham,West Ham United
1/1/2014,Liverpool,Hull City
1/1/2014,Manchester United,Tottenham Hotspur
1/1/2014,Southampton,Chelsea
1/1/2014,Stoke City,Everton
1/1/2014,Sunderland,Aston Villa
1/1/2014,Swansea City,Manchester City
1/1/2014,West Bromwich Albion,Newcastle United
11/1/2014
11/1/2014,Aston Villa,Arsenal
11/1/2014,Cardiff City,West Ham United
11/1/2014,Everton,Norwich City
11/1/2014,Fulham,Sunderland
11/1/2014,Hull City,Chelsea
11/1/2014,Manchester United,Swansea City
11/1/2014,Newcastle United,Manchester City
11/1/2014,Southampton,West Bromwich Albion
11/1/2014,Stoke City,Liverpool
11/1/2014,Tottenham Hotspur,Crystal Palace
18/1/2014
